Province,State,State Code,Latitude,Longitude,Tests,Days Since 1st Case,Total cases (4/14/2020),Deaths (4/14/2020),Population (for demographic %'s),% less than 18 years of age,% 65 and over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural,Population Density per Square mile of Land (2010),Housing Density Per Square Mile of Land,Avg Daily March 2011 Sunlight (KJ/m²) Missing HI and AK,GDP 2018,GDP/capita,"Percentage Living in Poverty, All Ages, 2016","Air Quality, Annual Average Ambient Concentrations of PM2.5, 2014",Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,High School Graduation Rate,% Some College,% Unemployed,% Children in Poverty,Income Inequality Ratio (80th%/20th%),% Single-Parent Households,Social Association Rate,Violent Crime Rate,Air pollution: Average Daily PM2.5,Presence of Drinking Water Violation,% Severe Housing Problems,Housing: Severe Cost Burden,Housing: Overcrowding,Housing: Inadequate Facilities,% Drive Alone to Work,% Long Commute - Drives Alone,Sleep <7 Hours_Percent,Sleep <7 Hours_CI_Low,Sleep <7 Hours_CI_High,Diabetes Total Percentage,Diabetes Male Percentage,Diabetes Female Percentage,"Coronary Heart Disease Death Rate per 100,000, All Ages, All Races/Ethnicities, Both Genders, 2014-2016","Hypertension Death Rate per 100,000 (any mention), 35+, All Races/Ethnicities, Both Genders, 2014-2016","Obesity, Age-Adjusted Percentage, 20+. 2015",% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Smokers (adults),% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Uninsured,Preventable Hospitalization Rate (Preventable hospital stays),% With Annual Mammogram,% Flu Vaccinated,Chronic Respiratory Disease: mortality rate per 100K (2014),Liver Disease: crude mortality rate per 100K (1999-2018),Liver Disease: % of Total Deaths (1999-2018),Liver Disease: crude mortality rate per 100K (2018),Liver Disease: % of Total Deaths (2018),Avg Temp Peak Growth-10 Rate,Avg Temp 10 Before First-Current,Avg Temp First-Current,First Case,Stay At Home,No Cases,No Stay At Home Order,Stay At Home Order After First Case
Iberia,Louisiana,LA,29.86804,-91.7587,"118,422",34,148,5,70941,25.8270958,14.9814635,32.1126006,0.61882409,2.68392044,0.0634,4.30216659,58.7896985,1.76955709,51.0748368,28.1362643,127.6,51.7,19160.74,"3,117,265",,23.4,9.4,2123:01:00,1650:01:00,663:01:00,81.3,41.0995493,5.8486679,39.3,4.97003312,48.3021483,6.09620927,195.719427,9.4,Yes,14.3402712,10.6189555,3.3988925,1.164789,83.928035,29.7,37.2790716,36.3818688,38.1948991,12.1,12.9,11.4,148.3,192.6,39.9,22.7652693,4.85080495,5.05002714,11.2066612,21.2427822,41.3,6.8,28.8,62.9806117,18.6713061,10.295252,4156,41,43,54.43,12.4400553,0.00021284,Unreliable,0.00023248,22.75,20.72045455,21.41470588,3/12/20,3/23/20,0,0,1
Iberville,Louisiana,LA,30.25734,-91.35,"118,422",26,253,17,32721,20.6075609,15.8338682,48.2595275,0.29338957,0.44925277,0.0214,2.70162892,47.5016045,0.30591872,49.4116928,59.2146644,54,20.5,18948.41,"2,056,001",,22.8,9.5,3002:01:00,2727:01:00,376:01:00,86.2,44.7146456,6.18745596,32.7,5.10984446,54.8335975,7.26678172,1096.26636,9.5,Yes,15.546595,12.0254314,3.44982079,0.89605735,84.1128197,41.8,38.2069937,37.2643456,39.2094547,14.2,14.7,13.8,86.5,342.8,38.5,21.5659217,4.58329624,4.76311213,12.6220615,20.9932518,38.1,7.1,21,48.5158894,18.4617444,8.50501631,5025,39,44,90.12,13.8546288,0.00010759,NA,NA,23.74347826,23.00555556,22.99230769,3/20/20,3/23/20,0,0,1
Jackson,Louisiana,LA,32.30252,-92.5569,"118,422",21,9,0,15902,21.9469249,19.9094454,28.4240976,0.364734,0.39617658,0.0126,1.75449629,67.4695007,0.70718527,48.698277,65.5339806,28.6,13.5,17987.72,"443,556",,21.2,9.5,5282:01:00,7951:01:00,994:01:00,80.7,34.8594178,4.60593654,31.5,6.39165693,48.0470994,15.1457781,143.683454,9.5,Yes,15.2892562,12.3737374,2.47933884,1.48760331,81.5279362,37.2,39.1146763,38.0787634,40.0577206,11.3,11.8,10.9,82.9,305.9,35,22.2737198,4.93598781,5.08004607,11.5449915,21.8170072,34.2,6.5,29,23.0244562,17.7288875,9.89336493,8690,41,39,59.97,9.77581841,3.63E-05,NA,NA,19.51578947,18.67419355,18.52380952,3/25/20,3/23/20,0,0,0
Jefferson,Louisiana,LA,29.74075,-90.1112,"118,422",34,5188,210,434051,21.9923465,17.1247158,26.8187379,0.63725231,4.20872202,0.0643,14.8597745,52.3493783,4.74962738,51.5914029,1.14252159,1463.1,639.8,19324.77,"21,754,436",50.11953895,16.1,8,1100:01:00,1196:01:00,387:01:00,71.8,59.1604318,4.37265186,25.7,4.87148008,43.2232969,7.6075766,434.287971,8,No,17.8556652,15.9617352,2.06572493,0.81269579,81.6336497,31.7,37.4925895,36.8070867,38.1150142,10,10.2,9.9,82.2,212.9,35.2,20.2127595,4.50902599,4.59819636,9.65145473,18.7436696,33.4,7.9,26.8,97.7526402,19.5910651,11.5647608,4906,41,42,53.68,17.1667634,0.00177174,22.8083797,0.00177045,22.01818182,22.28636364,23.09117647,3/12/20,3/23/20,0,0,1
Jefferson Davis,Louisiana,LA,30.26897,-92.8121,"118,422",21,47,7,31582,25.7013489,16.3352543,16.420746,0.76625926,0.45278956,0.0253,2.47292762,77.9621303,0.14689806,51.0227345,50.6994999,48.5,20.4,19591.82,"913,264",,19.3,9,2248:01:00,4512:01:00,518:01:00,92.5,46.4229765,4.71502591,23.8,6.11422957,37.6900075,8.57769165,346.342484,9,No,15.9671138,10.6614447,5.23582865,0.7788836,83.7318567,41.6,33.3979356,32.3757716,34.3942112,12.7,13.3,12.2,99.6,141.3,39.2,19.5118276,4.60826921,5.14091372,9.98677249,21.0316768,40.8,7.8,33.2,44.6825347,19.2815288,10.4362801,7143,41,44,62.67,13.8539885,0.00010174,NA,NA,22.23333333,21.28064516,20.80952381,3/25/20,3/23/20,0,0,0
Lafayette,Louisiana,LA,30.20491,-92.0696,"118,422",27,363,15,242782,23.6220148,13.2081456,26.3685117,0.37729321,1.93548121,0.056,4.64490778,65.3503967,1.79155646,51.3357662,8.31851538,824.6,348.5,19012.25,"13,515,417",,18.1,9.4,944:01:00,1508:01:00,282:01:00,76.8,62.4807569,4.47514933,20.4,5.46463409,38.8872212,7.42313958,506.466612,9.4,Yes,14.3913092,12.4109636,1.88150969,0.77836264,84.1400268,26.4,36.4792676,35.6425275,37.3848763,9.8,10.5,9.3,102.8,184.5,32.4,17.3512576,4.38301007,4.84739144,8.99852414,17.7986266,31.2,7.5,25.8,86.4472105,20.2182084,10.1380089,5036,47,47,44.88,9.8218819,0.00049702,11.1210881,0.00048285,20.98181818,19.82162162,19.53703704,3/19/20,3/23/20,0,0,1
Lafourche,Louisiana,LA,29.5247,-90.4098,"118,422",32,486,13,98115,23.2309025,15.4594099,13.3720634,3.01686796,0.93665597,0.0724,4.3795546,76.7823473,1.49685932,50.9524538,24.2166573,90.2,36.1,19505.23,"3,978,516",,17.1,9.3,2140:01:00,2230:01:00,625:01:00,94,45.1266755,4.73742108,22.8,5.09472318,36.2269429,5.07995855,279.069767,9.3,No,11.6935484,9.05628438,2.37764182,0.82035595,81.0932005,39.8,31.384364,30.5346475,32.228636,12.3,13.8,11,91.2,155.6,41.6,18.3640041,4.37735738,4.644861,9.01282639,19.2247583,39.6,7.7,32,60.4248427,20.7350133,11.918941,5668,42,44,47.23,11.6473458,0.00025845,Unreliable,0.00028613,22.46818182,22.31428571,23.128125,3/14/20,3/23/20,0,0,1
LaSalle,Louisiana,LA,31.67885,-92.1591,"118,422",18,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,10.5,18639.81,"462,138",,19.3,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,19.5,14.2,84,256.7,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.81,16.3895803,5.61E-05,NA,NA,,19.41071429,18.19444444,3/28/20,3/23/20,0,0,0
Lincoln,Louisiana,LA,32.60032,-92.666,"118,422",23,42,0,47196,20.0271209,13.5519959,40.2957878,0.48521061,1.61666243,0.10382236,3.2100178,53.3731672,0.77124857,51.3772354,40.6782925,99.1,41.3,17813.25,"1,914,163",,30.2,9.6,1540:01:00,2622:01:00,250:01:00,95.7,64.1495042,5.2223395,29.9,6.49874668,43.7486733,13.1953753,401.931041,9.6,Yes,19.3059201,17.7655678,2.04141149,0.99154272,82.1943665,21.1,37.2350369,36.1886809,38.2547786,10.5,10.7,10.4,49.6,312.7,35.4,23.1757409,4.98724582,5.11906317,10.8189331,20.9794976,35.8,5.2,30.7,47.3948861,19.0555784,9.7156205,5887,44,44,53.04,9.44029998,0.00010057,NA,NA,17.47058824,17.04848485,17.43913043,3/23/20,3/23/20,0,0,1
Livingston,Louisiana,LA,30.44144,-90.7306,"118,422",26,129,4,139567,25.5898601,13.1993953,6.54667651,0.47504066,0.67494465,0.0523,3.8440319,87.4074817,0.73353817,50.6975145,41.1166482,197.5,77.4,18947.84,"2,346,977",,12.6,9.7,5316:01:00,3246:01:00,918:01:00,86.6,55.7726922,4.05059191,15,4.56010908,30.5857378,6.94504731,355.073681,9.7,No,11.4443403,8.42094152,2.96782256,0.48943039,86.9891402,61.2,35.6056235,34.5308142,36.7554171,10,10.4,9.5,97.6,37.6,32.8,18.2048654,4.25373862,4.74798709,8.44200941,21.6043162,36.5,8.5,31,78.4731227,21.1515623,8.93927112,5285,39,46,82.74,14.6149687,0.00040931,17.9125438,0.00044708,23.74347826,23.00555556,22.99230769,3/20/20,3/23/20,0,0,1
Madison,Louisiana,LA,32.36918,-91.2397,"118,422",20,2,0,11161,23.7344324,14.3893916,62.4406415,0.34047128,0.27775289,0,2.15930472,33.7604157,0.24429202,50.3628707,22.4427355,19.4,7.7,17559.16,"449,912",,41.3,9.6,2829:01:00,5581:01:00,159:01:00,40.4,33.7239965,8.29886959,56.3,5.75305045,66.0923754,5.30222694,585.147578,9.6,Yes,18.2598039,13.4848485,4.75490196,0.46568628,84.1460017,16.3,42.4469332,41.3098906,43.6048837,18.6,19.5,17.8,120.4,438.1,39.5,31.1047627,5.92419815,5.67264193,15.6491832,27.6381702,41.2,5.3,38.6,85.1897792,15.2732346,8.97716229,7282,41,13,65.47,13.7447042,3.98E-05,NA,NA,18.1625,19.08,18.495,3/26/20,3/23/20,0,0,0
Morehouse,Louisiana,LA,32.81686,-91.8042,"118,422",21,32,2,25398,24.1593826,18.7534452,47.7399795,0.22836444,0.53941255,0.0669,1.37412395,48.9644854,0.0784,51.9174738,50.0375282,35.2,15.6,17556.82,"597,005",,28.7,9.8,2849:01:00,2540:01:00,282:01:00,69.2,41.8104185,8.17227509,41.1,5.44145903,47.775815,15.990016,571.007204,9.8,Yes,14.9878346,13.1379485,2.38442822,0.72992701,89.6862447,41.4,39.7131862,38.8034962,40.6996576,11.6,11.3,11.9,117.6,383.3,40.9,28.3317717,5.5627057,5.42227112,13.6931132,22.6412886,43.2,5.3,33,73.9090032,15.6229311,9.18211774,8642,36,36,71.8,15.6960954,0.00010408,NA,NA,17.18823529,16.89354839,17.55238095,3/25/20,3/23/20,0,0,0
Natchitoches,Louisiana,LA,31.72322,-93.0982,"118,422",23,42,0,38659,23.4434414,16.5938074,40.9814015,1.09159575,0.64409323,0.0414,2.44703691,52.8777258,0.28002745,51.915466,50.0505485,31.6,14.8,18563.69,"1,385,024",,31.9,9.6,1774:01:00,3514:01:00,245:01:00,79.5,55.5689634,5.81472742,33.4,6.75007325,51.0775862,12.5573409,638.060706,9.6,Yes,18.2007642,16.6912851,2.25772838,1.97985412,83.7498962,24.1,38.348615,37.2937757,39.4300299,14.6,15.2,14.2,103.2,627.6,34.6,26.0037577,5.25896398,5.40335495,11.6908482,23.7009941,36.4,5.3,28.3,69.0517111,17.8799228,9.63228116,6439,40,42,58.23,18.0207123,0.00016489,NA,NA,20.03076923,19.26666667,19.19565217,3/23/20,3/23/20,0,0,1
Orleans,Louisiana,LA,30.06972,-89.9266,"118,422",35,5718,276,391006,19.9705375,14.7721518,59.1159726,0.33810223,2.93397032,0.0552,5.61704936,30.7514463,1.54394526,52.668757,0.59186398,2029.4,1120.8,19351.87,"23,196,847",59.32606405,24.1,9,1054:01:00,1401:01:00,185:01:00,72.8,69.8058839,5.00656994,33.6,7.41299551,60.7459489,9.94172269,1025.47299,9,Yes,25.7967645,24.6798954,1.87284058,1.11401724,68.3593171,28.7,40.5162132,39.6890949,41.2449296,10.3,10.2,10.3,65.9,239.8,30.6,21.1927663,4.5305222,4.85032038,12.2736419,22.6096241,29.6,5.8,23.9,94.0711807,22.6046325,9.86329746,5209,39,37,39.42,16.8502307,0.00156825,18.4140397,0.0012876,19.45454545,19.84222222,20.84571429,3/11/20,3/23/20,0,0,1
Ouachita,Louisiana,LA,32.47646,-92.157,"118,422",25,387,7,154475,24.8758699,14.7900955,37.3154232,0.30749312,1.04741868,0.0466,2.22819226,58.0255705,0.2619064,52.0634407,24.1913869,251.8,105.6,17925.56,"7,285,480",,24.5,9.5,1199:01:00,1593:01:00,203:01:00,83.2627157,54.5086537,5.20294469,30.3,6.05684197,48.2722433,12.3817956,1378.43616,9.5,Yes,15.5698093,13.6080239,2.32844214,0.69413936,85.0932954,22.3,39.9880776,39.2066412,40.7713788,13.2,13.6,13,52.6,763.5,37.4,23.0934483,5.08168812,4.96205821,12.195122,21.4316568,40.1,6,31.4,78.3378871,17.753787,8.39549772,6507,42,43,69.01,12.2863037,0.00043738,15.5364946,0.0004292,20.35,18.95428571,18.512,3/21/20,3/23/20,0,0,1
Plaquemines,Louisiana,LA,29.42245,-89.6032,"118,422",27,142,11,23410,25.87783,13.4258864,20.7219137,1.81973516,4.37847074,0.2007689,7.82144383,62.9901751,1.96998987,49.5728321,19.5382345,29.5,12.3,21446.43,"3,444,860",,15.4,8.9,5837:01:00,3902:01:00,807:01:00,90.8,60.2818286,4.62369896,20.3,5.95832229,39.4992588,7.28113757,148.405699,8.9,Yes,13.8230191,10.6714628,3.1231926,0.5205321,83.3583068,35.4,35.6909279,34.8748977,36.4902344,15.6,16.2,15,59,167.1,34.5,19.1746966,4.49441773,4.81095418,8.96385542,19.5030821,37.5,7.1,26.9,44.9830744,19.6983537,11.6945107,4466,38,33,55.71,13.8887771,8.07E-05,NA,NA,24.00555556,22.91621622,23.07407407,3/19/20,3/23/20,0,0,1
Pointe Coupee,Louisiana,LA,30.7141,-91.6021,"118,422",20,49,4,21940,21.8459435,20.5834093,35.3281677,0.29170465,0.32816773,0.00456,2.88058341,60.2689152,0.55643498,51.946217,57.8107184,40.9,20,19255.03,"708,965",,19.7,9.3,3181:01:00,3134:01:00,914:01:00,69.8,41.7883212,5.36053605,27.7,6.26197017,50.9106134,5.38889887,513.189448,9.3,Yes,13.3522727,8.65895954,4.77272727,0.21590909,80.8410692,49,35.2723208,34.3194162,36.2442214,9,9.3,8.8,123.3,342.6,33,19.9193728,4.48148312,4.88367827,10.7853403,19.5936025,31.2,7.3,26.4,33.8303658,18.2042241,9.86738593,4175,36,33,43.87,17.3125583,9.12E-05,NA,NA,20.54705882,19.71,19.14,3/26/20,3/23/20,0,0,0
Rapides,Louisiana,LA,31.19778,-92.53,"118,422",26,175,5,130562,24.7009084,16.3715323,31.7427736,0.89918966,1.40852622,0.046,3.19465082,61.1180895,0.80597137,51.6183882,39.5272504,99.9,42.3,18983.73,"5,322,092",,19.9,9.3,1230:01:00,1865:01:00,202:01:00,77.6,52.0962262,5.30923826,25.2,5.34754025,44.5887179,12.7613029,1013.93828,9.3,Yes,15.6058561,13.8768613,1.91049735,0.77873533,83.1074311,19.3,37.1099971,36.2382564,37.929369,13.1,13.8,12.5,174.8,163.6,37.9,21.5423182,4.6105246,5.29094056,11.0009518,22.4379567,39.7,6.2,30.5,79.9860196,17.2268106,9.63939425,5244,44,44,65.18,13.0933754,0.00039762,Unreliable,0.00026825,21.17222222,19.88333333,19.35384615,3/20/20,3/23/20,0,0,1
Red River,Louisiana,LA,32.0953,-93.3421,"118,422",17,13,2,8477,23.3573198,19.0987378,39.3653415,0.62522119,0.2241359,0.0118,2.41830836,56.6238056,0.73128409,51.8933585,100,23.4,10.6,18201.02,"1,271,107",,26.3,9.4,4268:01:00,4239:01:00,1211:01:00,84.1,42.9949239,4.43838334,33.3,6.2724265,48.4149856,8.20056232,507.643496,9.4,Yes,12.3209169,8.4379562,2.29226361,1.86246418,83.625731,38.3,37.408632,36.4149772,38.3388406,13.4,14.2,12.7,93.6,554.4,33.9,22.2964742,4.81606998,5.09764783,10.4665826,21.8837617,31.2,6.8,34.1,53.2174678,16.7081613,8.83345561,11679,34,32,83.61,10.9919704,2.34E-05,NA,NA,19.84545455,18.71111111,17.31176471,3/29/20,3/23/20,0,0,0
Richland,Louisiana,LA,32.41391,-91.7663,"118,422",23,20,0,20192,23.3062599,17.5515056,35.3704437,0.35162441,0.32686212,0.0347,2.2731775,60.7864501,0.15095518,51.2083994,66.0458384,37.1,15.4,17848.76,"501,952",,27.2,9.6,1458:01:00,2244:01:00,215:01:00,78.4,39.3323949,6.23948064,36.9,5.60937395,56.4655172,10.7785018,484.949833,9.6,Yes,9.43271768,7.99731183,2.63852243,0.52770449,87.7906222,29.3,38.1189813,37.159464,39.1643927,17,18,16.2,104.7,119.5,36.7,25.166745,5.28818981,5.4222712,13.3229653,23.2269186,35.6,6.5,34.4,43.5995175,16.7275681,9.77841404,9629,40,24,76.78,14.0207701,6.78E-05,NA,NA,19.67777778,18.78484848,18.89130435,3/23/20,3/23/20,0,0,1
Sabine,Louisiana,LA,31.56389,-93.5543,"118,422",17,10,0,24032,23.5852197,20.7223702,16.6652796,9.17526631,0.43275633,0.0458,3.96138482,67.3477031,0.25234638,50.6408123,88.1979119,28,16.3,18762.52,"789,765",,18.5,9.4,8006:01:00,8011:01:00,751:01:00,93.3,44.1371681,5.18370518,30.1,5.73567455,38.8734353,13.3233408,112.163241,9.4,Yes,9.57150807,7.32265446,2.50417362,0.27824151,80.2721088,37.5,34.9899242,34.0556187,35.9616319,9.1,9.1,9.1,120.3,164.2,39.9,20.3305241,4.75072645,4.94393189,10.0344319,20.9544957,45.8,7.1,36.8,26.253456,18.5676591,12.5661936,7964,33,38,57.74,17.1373517,9.59E-05,NA,NA,19.32,19.05185185,17.59411765,3/29/20,3/23/20,0,0,0
St. Bernard,Louisiana,LA,29.87762,-89.5189,"118,422",30,377,10,46721,26.6261424,11.4295499,22.9126089,0.8411635,2.33727874,0.0642,10.2095418,62.0684489,1.78461539,50.9941996,4.25383737,95.1,44.5,20994.7,"1,317,707",,23.5,9,4620:01:00,3594:01:00,261:01:00,91,54.006236,5.01050259,29.8,4.98521135,42.02341,4.54525778,238.70473,9,No,15.8180584,14.0167364,2.1724372,0.43448744,87.1088049,47.8,38.0266065,37.239346,38.8268251,13.3,13.4,13.3,103.3,315.1,40.4,22.9461317,4.86164006,5.01084131,10.2232143,22.517842,42.5,6.4,32.8,56.6036159,19.6306696,10.2299586,6139,30,33,62.9,21.5543565,0.00024559,Unreliable,0.00017883,20.69047619,20.115,20.84333333,3/16/20,3/23/20,0,0,1
St. Charles,Louisiana,LA,29.9071,-90.3556,"118,422",32,460,25,52879,24.436922,13.5668224,25.9895233,0.43306417,1.10440818,0.0492,6.30117816,64.8688515,0.79008144,50.9446094,11.4892005,189.1,71.3,18980.3,"9,662,139",182.7216664,13.1,9,2931:01:00,2203:01:00,734:01:00,81.6,64.4943654,4.39075293,21.7,4.61653107,40.8493971,8.53096741,332.63322,9,No,12.5100888,10.93588,2.01775626,0.34974442,87.6186154,45.5,34.5553161,33.5651978,35.5845218,10.1,11.2,9.2,80.8,155,33.2,18.5421042,4.01175935,4.47337576,9.6981802,18.7244737,37.3,7,24.8,81.0515347,21.2562325,7.37791932,4636,44,40,49.11,12.7350145,0.0001532,NA,NA,22.59333333,22.31428571,23.128125,3/14/20,3/23/20,0,0,1
St. Helena,Louisiana,LA,30.8221,-90.7101,"118,422",15,14,0,10262,21.0582732,19.937634,51.9391931,0.52621321,0.39953226,0.0682,1.88072501,44.1921653,0.10168802,51.7930228,100,27.4,12.6,18496.11,"141,576",,24.7,8.8,5182:01:00,10262:1,1140:01:00,73.9,36.8246968,6.56040656,35.3,6.51187317,56.8851738,9.64971533,340.303808,8.8,No,12.3915737,8.50955414,2.42874845,1.48698885,80.5279591,54.9,39.8715417,38.7853229,40.9175276,9.5,9.5,9.5,97.5,333.8,36.7,26.7730232,5.34454467,5.35707704,10.8508015,23.9171936,32.4,6.6,31.1,18.6735696,16.0774667,10.120048,9295,31,35,51.77,17.24596,4.33E-05,NA,NA,20.4,19.38,18.03333333,3/31/20,3/23/20,0,0,0
St. James,Louisiana,LA,30.02532,-90.8021,"118,422",27,208,13,21037,22.5697581,17.1602415,48.8425156,0.25193706,0.38978942,0.019,1.67324238,48.2530779,0.13446885,51.6993868,27.7033753,91.5,35,18697.03,"3,133,283",,19,9.5,4273:01:00,3506:01:00,1753:01:00,85.1,53.7141743,6.17561917,25,6.24265928,52.0799012,6.55215987,580.371878,9.5,Yes,12.1383648,9.3088142,2.81761006,0.56603774,82.868705,42.9,37.7160988,36.7834081,38.6583676,7.3,7.2,7.4,93.6,238.9,37.2,20.2073766,4.3403874,4.63496866,11.8093174,19.0069555,38.1,6.7,35.4,31.8387476,18.648874,7.10404166,4644,41,38,36.38,11.343249,5.73E-05,NA,NA,24.09333333,22.91621622,23.07407407,3/19/20,3/23/20,0,0,1
St. John the Baptist,Louisiana,LA,30.12597,-90.4754,"118,422",32,562,48,43184,24.5854946,14.2274917,57.04196,0.48165987,1.14625787,0.17135976,6.33799555,33.9732308,0.86181424,51.2180437,13.4461284,215.5,82.2,19041.33,"2,367,760",54.82956651,18.5,9.2,3620:01:00,2699:01:00,345:01:00,80.7,50.4964795,5.68708314,28.9,5.04979036,50.4257682,4.60394558,144.644118,9.2,Yes,15.0992516,12.9265092,2.24536284,0.52066385,87.8051347,51.4,39.6903618,38.7581454,40.6704536,9,9.2,8.9,102.7,102.4,39,21.5261066,4.46464824,4.6895414,12.1701255,20.5160155,43.3,6.4,32,82.4601516,17.5818188,8.63243243,4415,38,35,47.73,12.4311109,0.00012981,NA,NA,23.81818182,22.31428571,23.128125,3/14/20,3/23/20,0,0,1
St. Landry,Louisiana,LA,30.59724,-92.0014,"118,422",26,115,16,82764,26.8595041,16.1036199,41.2800251,0.41684791,0.46276159,0.023,2.27393553,54.4898748,0.81832212,51.7302209,48.1723112,90.3,38.6,19299.39,"2,548,496",,26.6,9.5,1440:01:00,3311:01:00,465:01:00,69.1,40.4191617,6.23806094,46.6,6.47975776,46.5571699,7.90447561,673.856151,9.5,Yes,16.1660922,13.6739167,2.87214837,0.3446578,85.1794335,37.6,38.282754,37.3852764,39.1852553,12.4,13,12,217.9,378.9,36.9,24.850129,5.10551487,5.60338976,10.9535067,24.3989693,33.7,6.2,31.9,51.8252902,18.3763115,9.79368131,6129,44,45,58.73,15.915474,0.00031459,Unreliable,0.00033978,20.70909091,19.88333333,19.35384615,3/20/20,3/23/20,0,0,1
St. Martin,Louisiana,LA,30.13112,-91.614,"118,422",22,168,9,53621,24.203204,15.0258294,29.7495384,0.70308275,0.93993025,0.028,2.98763544,64.5754462,1.41993898,50.8420209,49.5705522,70.7,29.7,19060.27,"1,415,755",,18.5,9.6,6019:01:00,5958:01:00,2553:01:00,83.7,47.7053054,5.23684093,27.5,5.14266961,37.9536945,3.3228111,263.324622,9.6,Yes,11.442657,7.0755462,3.8920602,0.5708355,82.19757,40,38.2265024,37.2253856,39.1577845,13.8,14.4,13.3,123.5,285.6,35.1,19.8951506,4.57361331,4.80884375,9.67425432,21.5043765,36.9,7.8,32.5,59.9367331,19.8220951,9.91797003,4054,48,40,56.28,12.3268179,0.00014852,Unreliable,0.00019672,24.58,23.128125,22.87727273,3/24/20,3/23/20,0,0,0
St. Mary,Louisiana,LA,29.69262,-91.447,"118,422",25,129,2,49774,23.8377466,16.558846,31.3657733,2.28633423,1.66351911,0.0844,7.14027404,56.171897,2.15645171,50.6871057,13.0393413,98.4,41.5,18965.16,"2,479,914",,22.2,9,1961:01:00,2489:01:00,803:01:00,88.2,34.3049499,6.59105606,28.8,4.61486133,44.0204375,8.23965629,516.957337,9,Yes,13.8854451,9.49622166,4.06645177,1.38854451,85.4307646,19.6,37.2149135,36.3842963,38.0612761,13.8,14.6,13.1,110.1,208.8,37.1,23.9219419,4.94870014,5.04692804,10.1104009,21.5776595,38,6.2,36.6,89.1418115,18.4889834,10.6268132,5469,38,42,63.58,15.3915748,0.00019179,NA,NA,23.79047619,23.06571429,22.892,3/21/20,3/23/20,0,0,1
St. Tammany,Louisiana,LA,30.40943,-89.9564,"118,422",34,898,55,258111,23.9885166,16.9283758,12.252868,0.55441264,1.47688398,0.0504,5.7382289,78.3844935,1.67489057,51.4627428,23.2181056,276.4,112.8,18785.89,"9,056,766",35.08864791,9.8,9.3,1232:01:00,1284:01:00,420:01:00,82.8,69.0349843,4.18848168,17,4.79708035,30.5734997,7.60747015,165.010857,9.3,Yes,13.0151844,11.3670758,1.47394182,0.60626286,82.9893412,45.8,35.9269987,35.0828019,36.8164993,9.6,10.6,8.7,80.1,94.8,30.4,16.2853333,4.08798896,4.72484726,8.7297695,17.7092806,30.2,8.4,22.3,81.3129974,21.0034899,8.92229872,5753,44,45,59.64,14.6787211,0.00077886,12.7851971,0.00059015,20.108,19.98181818,20.86764706,3/12/20,3/23/20,0,0,1
Tangipahoa,Louisiana,LA,30.62889,-90.4066,"118,422",26,391,11,133777,24.489262,14.3746683,30.0642113,0.41636455,0.75872534,0.0635,4.37668658,63.1349186,0.91837072,51.5686553,40.9291725,153,63.3,18920.6,"3,894,065",,21.5,8.9,2880:01:00,2267:01:00,471:01:00,70.6,51.7552917,5.48083822,24.3,5.57224105,45.2008964,8.52849499,870.302865,8.9,Yes,17.8858259,15.0567243,2.39852399,1.49772086,79.159146,44.3,38.7934205,37.9260954,39.6723665,9.8,10.6,9.1,121.2,253.4,38.3,22.1393607,4.57158417,5.03626643,10.5255453,22.0247562,38.7,6.7,33.7,67.8935069,19.8143214,10.1121155,7883,38,39,66.85,15.4153407,0.00042101,Unreliable,0.00030402,22.18947368,20.77777778,20.65384615,3/20/20,3/23/20,0,0,1
Tensas,Louisiana,LA,32.00761,-91.3292,"118,422",#REF!,1,0,4462,22.9045271,24.4060959,53.8995966,0.20170327,0.20170327,0,2.19632452,42.2904527,0.0916,51.6360377,100,8.7,5.6,18049.43,"122,324",,31.6,9.2,NA,1487:01:00,892:01:00,84,26.4317181,7.73972603,47.7,5.52298326,58.3778966,6.50054171,151.090007,9.2,Yes,12.628866,9.96852046,2.5257732,0.51546392,89.4409938,28.1,42.1638535,41.0411361,43.2592984,15.8,16.3,15.3,106.2,237.8,34.2,34.9553537,6.40676011,6.17662498,9.34343434,28.4773188,30.7,4.4,33.2,15.3084539,12.1684025,10.9707065,5893,29,26,60.34,Unreliable,1.29E-05,NA,NA,,18.17142857,13.4,,3/23/20,1,0,0
